station_id,station_code,station_name,sample_date,As_µg/l,Cd_µg/l,Cr_µg/l,Cu_µg/l,Ni_µg/l,Pb_µg/l,Zn_µg/l,TOC_mg C/l,pH_
3153,618-1-3,HOH 1456,1995-09-17,,,,0.4,,0.13,0.7,0.2,6.0
3154,618-3-1,Vannen,1995-09-18,,,,0.4,0.2,0.05,0.9,3.4,6.88
3156,618-3-6,Storevatnet,1995-09-18,,,,0.4,0.4,0.06,2.3,1.8,6.92
3157,619-1-1,Butjørni,1995-09-15,,,,0.4,0.2,0.14,0.7,3.4,7.17
3158,619-2-19,Mefaringen,1995-09-15,,0.05,,0.5,0.3,0.08,2.2,2.1,7.32
3159,619-2-33,Austre Flågrunnsvatnet,1995-09-17,,,,0.3,,0.11,1.1,0.2,5.86
3160,619-3-2,Vassfjorden,1995-09-16,,0.03,,0.8,0.5,0.09,1.0,3.1,6.82
3161,619-3-10,Halldalsvatnet,1995-09-17,,,,0.4,0.2,0.05,4.1,2.5,7.03
3162,620-1-6,HOH 1760,1995-09-17,,0.02,,0.6,0.2,0.18,1.0,0.2,5.68
3163,620-1-14,HOH 1340,1995-09-17,,,,0.4,0.1,0.16,3.1,0.2,5.87
3164,620-1-15,Skarvåtjørnane,1995-09-17,,,,0.5,0.4,0.04,0.8,1.1,6.7
3165,620-1-21,HOH 1540,1995-09-17,0.102,,,,,0.31,2.4,0.2,5.23
3166,620-3-7,Skurdalsfjorden,1995-10-12,,,,0.6,0.3,0.11,1.9,2.4,6.96
3167,620-4-6,Ørteren,1995-10-12,,,,0.7,0.3,0.12,2.0,1.1,6.62
3168,621-1-27,Flåvatna,1995-09-15,,0.03,,0.5,0.4,0.37,3.2,8.3,6.27
3169,621-3-5,Soneren,1995-10-20,,,0.1,0.6,0.4,0.21,4.1,6.2,5.89
3170,622-2-43,Trytetjern,1995-10-20,0.134,,0.2,0.4,0.5,0.18,4.3,7.5,6.38
3171,622-4-4,Krøderen,1995-10-20,,,,0.7,0.5,0.06,1.8,2.7,6.54
3173,624-1-8,Grøntjern,1995-10-19,0.245,0.03,0.3,0.7,0.9,0.25,9.7,9.2,6.76
3174,624-1-55,Brånavatnet,1995-10-19,,0.05,,0.5,0.3,0.99,4.3,4.5,6.19
3175,624-2-23,Skogsvatnet,1995-10-20,0.195,,,0.3,0.3,,0.6,5.0,7.33
3176,624-4-5,Eikeren,1995-10-19,0.178,0.05,,0.6,0.5,0.07,7.8,2.5,7.21
3177,631-1-4,Nydammen,1995-10-19,0.552,0.04,0.1,0.6,0.1,1.12,5.2,7.0,5.74
3178,631-2-29,Tryttjern,1995-10-20,0.249,0.02,0.3,0.4,0.4,0.36,4.7,8.5,6.14
3179,632-1-20,Trytetjørn,1995-10-20,,0.03,0.1,0.4,0.4,0.58,8.1,4.6,5.55
3180,633-1-11,Øvre Halstjørnane,1995-10-29,,,,,0.1,0.39,1.6,2.1,6.56
3181,633-1-16,HOH 1217,1995-10-29,,0.04,,0.4,0.5,0.18,1.7,2.6,6.66
3182,633-1-18,HOH 1250,1995-09-20,,,,0.2,0.1,0.18,2.6,1.7,5.97
3183,633-1-29,Tjørngrøtjørnane,1995-10-29,,,,0.5,0.3,0.15,1.6,3.8,6.19
3184,633-1-30,Såtenattjørnan,1995-09-15,,,0.1,0.3,0.1,0.1,2.0,2.4,6.52
3185,633-2-2,Frygnevatnet,1995-09-20,,,,0.5,0.4,0.12,1.3,4.5,6.67
3186,633-2-4,Grånsettjørni,1995-09-15,,,0.1,0.3,0.2,0.16,1.5,4.2,6.57
3187,633-2-8,Vestre Søltjørni,1995-10-29,,0.03,,1.3,0.2,0.51,12.9,2.3,6.26
3188,633-2-11,Øvre Nutetjørnane,1995-10-29,,,0.1,,,1.54,0.5,0.86,6.39
3189,633-2-13,Holmevatni,1995-09-15,,,0.9,0.6,0.4,0.11,1.0,2.0,6.95
3190,633-2-21,Flåtåtjørni,1995-10-29,,,0.2,0.6,0.2,0.34,1.2,2.0,6.87
3191,633-2-24,Vegardhovdtjørnan,1995-09-21,,,,0.4,0.4,0.28,1.0,1.6,6.2
3192,633-2-25,HOH 1065,1995-09-15,,,,0.2,0.2,0.13,9.1,2.2,6.34
3193,633-3-14,Krossvatnet,1995-10-29,,,,,0.2,1.8,0.7,1.3,6.57
3194,633-4-8,Langesjøen,1995-10-29,,,,0.3,0.3,0.12,0.8,1.6,6.61
3195,709-1-5,Bålsrødtjernet,1995-10-19,,,0.1,1.1,0.8,0.47,2.4,10.1,7.28
3196,714-3-5,Bergsvatnet,1995-10-19,,,,0.8,0.5,0.17,2.7,5.0,7.18
3197,720-2-1,Gjennestadvatnet,1995-10-19,0.186,,0.1,0.4,0.5,0.11,1.5,9.5,7.19
3198,728-1-3,Solbergvatnet,1995-10-19,,,,,,,,4.0,6.63
3199,728-1-6,Rosovatnet,1995-10-19,0.184,0.03,0.1,0.3,0.3,0.21,8.9,6.9,6.54
3200,806-2-23,Holmevatn,1995-10-19,0.281,0.04,0.1,0.2,0.1,0.55,6.7,5.1,5.85
3201,807-1-36,Vassenden,1995-10-19,,0.02,0.2,1.0,0.5,0.18,6.8,9.8,6.05
3203,807-3-1,Sønstevatn,1995-10-19,0.335,0.02,0.1,0.6,0.3,0.31,2.9,7.1,6.48
3204,807-4-1,Heddalsvatnet,1995-10-19,0.118,,0.1,0.4,0.8,0.13,3.1,2.4,6.39
3205,814-2-4,Grummestadvatnet,1995-10-19,0.253,0.06,0.2,1.4,3.8,0.25,9.5,5.4,6.72
3206,815-1-29,HOH 50,1995-10-19,,0.06,0.2,1.2,1.3,0.32,9.9,8.1,6.55
3207,815-2-27,Lønstravatnet,1995-10-19,,0.11,0.3,0.8,0.8,0.66,12.5,6.9,6.39
3208,815-3-8,Leivatnet,1995-10-19,,0.16,0.2,1.0,1.0,0.61,13.0,7.1,6.17
3209,817-1-14,Teksle,1995-10-19,,0.1,0.2,0.7,0.4,0.89,12.9,9.6,5.18
3210,817-1-33,Store Kyrsvatnet,1995-10-19,0.135,,,0.2,0.2,0.18,3.8,7.3,6.38
3211,817-1-34,Eldhustjenna,1995-10-19,,0.1,0.2,0.6,0.4,0.4,7.8,11.6,5.83
3212,817-1-38,Signevatnet,1995-10-19,0.143,0.03,,,0.2,0.16,5.2,5.6,6.69
3213,817-1-43,Skultrevatnet,1995-10-19,,0.08,0.1,0.5,0.5,0.27,10.5,6.5,6.35
3214,817-1-72,Dei store tjørnane,1995-10-19,,0.05,,0.4,0.5,0.15,4.6,4.3,4.67
3215,817-2-61,Sandvatnet,1995-10-19,0.163,0.05,,0.2,0.5,0.62,6.2,3.2,5.16
3217,819-2-13,Prestevatnet,1995-10-19,,0.02,,0.2,0.2,0.16,4.1,3.4,6.79
3218,819-2-14,Bøvatnet,1995-10-19,0.22,0.04,,0.3,0.2,0.21,6.4,4.6,6.6
3219,819-3-17,Store Børten,1995-10-19,,0.06,,0.5,0.4,0.15,6.5,4.9,6.48
3220,822-2-11,Børtevatn,1995-10-19,0.336,0.07,,0.3,0.1,2.08,6.1,5.2,6.97
3221,826-1-7,Vesle Flottetjørn,1995-09-26,,,,,,0.14,1.4,1.8,6.42
3222,826-1-16,Svarttjørn,1995-09-28,,,,0.4,0.4,0.21,1.9,1.4,6.43
3223,826-1-17,HOH 1162,1995-09-26,,,,,,0.06,0.4,1.3,6.52
3224,826-1-18,Fikstjørn,1995-09-27,,,,,,,,3.1,7.26
3225,826-1-20,Grysletjørn,1995-09-28,0.104,,,,,0.88,0.6,1.5,6.31
3226,826-1-25,HOH 1335,1995-09-24,,,,0.4,0.3,0.22,1.3,1.7,6.52
3227,826-1-28,Storsteinvatnet,1995-09-26,,,,,,0.13,1.3,3.1,6.31
3228,826-1-30,Ormetjørn,1995-09-26,,0.02,,0.6,0.5,0.33,2.1,4.8,6.53
3229,826-1-35,Langtjørn,1995-09-27,,,,,,0.07,,3.3,7.08
3230,826-1-39,Torjustjørn,1995-09-26,,,,,,0.09,0.8,2.1,6.38
3231,826-2-6,Viktjørn,1995-09-24,,,,,,0.09,1.0,0.52,6.02
3232,826-2-24,Longetjørn,1995-09-26,,,,0.4,0.4,0.28,1.6,3.7,6.24
3234,827-1-23,Lysetjørn,1995-10-20,,,,,,0.26,0.8,2.1,6.46
3235,827-1-41,HOH 1102,1995-10-20,,,,0.4,0.4,0.15,1.2,2.0,6.55
3236,827-2-32,Sjausetvatnet,1995-10-20,,0.02,,,0.2,0.31,2.1,6.1,5.81
3237,827-3-23,Heddevatnet,1995-10-20,,,,0.4,0.3,0.12,1.4,2.3,6.76
3238,827-3-26,Sjåvatnet,1995-10-20,,,,,0.2,0.26,2.7,1.9,6.14
3239,828-1-22,Sandtjørni,1995-10-20,,,,0.4,0.2,0.15,1.7,1.7,6.26
3241,828-2-25,Grotvatni,1995-10-20,,,,,,0.26,1.7,3.2,6.08
3242,829-1-46,Stestøyltjørni,1995-10-20,0.126,0.09,,4.4,0.2,0.47,7.4,6.5,5.44
3243,829-2-59,Bjørntjørn,1995-10-20,,,,0.2,0.1,0.29,2.6,1.8,5.29
3244,829-4-6,Kviteseidvatnet,1995-10-19,,0.03,,0.5,0.3,0.08,2.2,1.4,6.53
3246,831-1-26,Snotjørnane,1995-10-21,,,0.2,0.2,0.1,0.39,2.2,6.0,5.84
3247,831-2-3,Øvre Selbuvatn,1995-10-28,,,,,,0.61,1.7,4.0,5.14
3248,831-2-15,Grimvatn,1995-10-28,,0.02,0.1,1.7,0.3,0.59,4.5,4.4,5.01
3249,831-2-29,Tussetjørn,1995-10-28,,,,,,0.6,1.6,4.9,5.02
3250,831-2-60,Kråkestøltjørn,1995-10-28,,0.04,,0.4,0.3,0.42,4.5,2.4,5.22
3252,831-3-32,Sandvatnet,1995-10-20,,,,0.3,0.4,0.3,1.8,2.4,5.3
3253,831-4-8,Fyresvatn,1995-10-28,,,,0.4,,0.44,2.2,1.7,5.47
3254,833-1-21,Grunntjørn,1995-09-18,,,,0.5,0.3,0.13,1.7,2.7,6.96
3255,833-2-16,Kambetjørn,1995-09-21,,,,,,0.36,1.4,2.3,5.59
3256,833-2-30,Kjønnesviksvatnet,1995-09-16,,,,,,0.82,1.8,0.85,6.06
3257,833-3-3,Åmlivatn,1995-10-20,,,,,,,,6.5,5.97
3258,834-1-2,Langetjørn,1995-09-21,,,,,,0.29,0.8,1.8,6.52
3259,834-1-6,HOH 1387,1995-09-27,,,,,0.3,0.69,0.3,0.32,6.3
3260,834-2-2,Midtre Supsavatn,1995-09-18,,,,0.3,0.1,0.12,1.3,0.86,5.98
3261,834-2-5,Vonevatn,1995-09-21,,,,,,0.09,,0.87,6.54
3262,834-2-8,Fetveittjørn,1995-09-18,,,,0.4,0.5,0.18,1.5,7.3,7.07
3263,834-2-10,Straumstøltjørn,1995-09-21,,,,,,0.11,0.7,0.49,6.23
3264,834-2-12,Torstjørni,1995-09-21,,,,0.3,0.4,0.14,1.0,1.0,6.25
3265,834-2-18,Såtetjørn,1995-09-21,,,,,,0.12,0.9,0.34,5.72
3266,834-2-26,Vikvatnet,1995-09-18,,,,0.4,0.2,0.13,2.0,2.6,6.61
3267,834-2-28,HOH 1367,1995-09-21,,,,,,0.09,0.5,0.61,6.03
3270,834-3-14,Lognvikvatn,1995-09-18,,,,0.5,0.2,0.09,1.1,2.8,6.83
3271,834-4-5,Totak,1995-09-18,,,,0.6,0.3,0.21,1.8,2.9,6.61
3272,834-4-7,Holmavatnet,1995-09-20,,,,,,0.08,0.9,0.22,6.38
3273,901-1-55,Stavvatn,1995-10-19,0.468,1.07,0.3,0.8,0.7,1.06,11.7,9.6,6.45
3274,901-2-49,Mjåvatnet,1995-10-19,,0.11,0.1,0.5,0.8,0.56,10.4,5.2,5.92
3275,901-3-8,Dalsvatnet,1995-10-19,0.296,0.07,0.1,1.1,0.8,0.46,7.8,4.5,6.52
3277,912-2-4,Simonstadvatnet,1995-10-19,0.357,0.08,0.4,1.0,1.7,0.66,11.4,9.5,5.6
3278,912-2-14,Midtvatnet,1995-10-19,0.396,0.07,0.2,0.9,0.8,0.56,11.3,6.7,5.76
3279,912-2-18,Ljøstadvann,1995-10-19,,0.07,0.1,0.7,0.9,0.35,9.2,7.8,5.52
3280,912-2-27,Ljøsvannet,1995-10-19,0.233,0.05,,0.5,0.7,0.36,6.4,3.6,5.95
3281,912-2-30,HOH 170,1995-10-19,,0.08,0.2,1.0,1.4,0.83,9.7,10.0,5.13
3282,914-1-14,Vålandstjern,1995-10-19,,0.17,0.4,1.0,1.8,0.82,13.1,8.4,6.17
3283,914-1-31,HOH 146,1995-10-19,0.268,0.05,,0.4,0.5,0.39,5.7,4.9,6.19
3285,919-2-19,Ålevatnet,1995-10-19,,0.12,0.3,1.5,1.3,0.51,11.6,5.5,4.98
3286,928-1-17,Krokevatn,1995-10-18,12.66,0.14,0.1,0.5,0.4,1.44,14.5,9.9,4.47
3288,929-1-1,Eiklitjørn,1995-10-18,,0.08,0.2,0.6,0.7,1.25,12.1,2.8,5.38
3289,929-1-5,Berlitjørnane,1995-10-19,0.403,0.06,0.1,0.4,0.4,0.93,9.5,7.7,5.06
3290,929-1-20,Imetjern,1995-10-19,,0.03,,0.4,0.5,0.33,4.3,4.3,5.96
3291,929-1-22,Øytjørn,1995-10-28,0.14,0.02,,,0.1,2.8,2.9,4.3,4.87
3292,929-2-8,Øvre Skålvatn,1995-10-19,0.161,0.09,0.2,0.4,0.5,0.63,9.0,5.6,5.17
3293,929-2-25,Stemmevatn,1995-10-19,,0.11,,0.6,0.3,2.12,7.6,1.7,4.8
3294,929-2-26,Lauvlivatn,1995-10-18,0.359,0.08,0.1,0.3,0.3,1.12,7.3,4.2,4.69
3296,937-2-1,Midtvatnet,1995-10-18,,0.11,,0.7,0.4,1.69,11.7,6.4,4.51
3298,938-1-9,Longeraktjørn,1995-11-01,,0.05,0.1,0.5,0.3,0.84,5.7,2.2,4.68
3299,938-1-23,Kvivotni,1995-10-21,,,,,,1.73,2.1,1.5,5.21
3300,938-1-27,Fånetjørn,1995-10-28,,0.06,,0.5,0.3,1.52,4.7,4.0,4.83
3301,938-1-28,Hovotni,1995-10-21,,,,,0.1,0.39,1.6,4.2,5.0
3302,938-1-29,Beritstjørni,1995-11-01,,0.1,,0.7,0.3,2.23,8.0,4.1,4.58
3303,938-2-10,Skjevlevatni,1995-11-01,0.215,0.02,0.1,,0.2,0.64,3.1,2.7,4.87
3304,938-2-15,Flåvatnet,1995-10-21,,,,,0.2,0.57,2.9,1.1,5.18
3305,938-3-24,Sandsvatnet,1995-10-28,0.13,,,,0.1,0.9,2.8,2.1,4.81
3306,938-4-1,Åraksfjorden,1995-11-01,,,,0.4,0.3,0.28,3.0,2.0,5.57
3307,940-1-4,Urdevotni,1995-10-21,,,,0.3,0.1,0.25,2.5,1.5,5.44
3308,940-1-6,HOH 1220,1995-09-19,,,,,,0.37,1.7,0.21,5.31
3309,940-1-10,HOH 1114,1995-10-21,,0.02,,,,0.53,2.5,1.1,5.08
3310,940-1-11,HOH 1285,1995-09-19,,,,0.2,0.2,0.63,2.2,0.28,5.06
3311,940-1-13,HOH 1238,1995-09-19,,,,,,0.35,1.4,0.21,5.34
3312,940-1-24,HOH 1050,1995-09-21,,,,0.2,0.4,0.24,3.5,0.96,5.59
3313,940-2-33,Hovdevatnet,1995-10-21,,0.03,,,0.2,0.43,3.1,2.5,5.03
3314,940-2-51,Langevatn,1995-10-21,0.22,,,0.2,0.1,0.38,2.0,1.4,5.2
3315,940-2-52,Øvre Krokvatnet,1995-09-19,,0.03,,,0.2,0.37,1.7,0.27,5.25
3316,940-2-53,Ljomsvatnet,1995-10-20,,,,,,0.24,1.6,1.1,5.39
3317,941-1-3,HOH 1110,1995-09-20,,,,,,0.59,,0.33,6.32
3318,941-1-8,HOH 1168,1995-09-20,,,,,0.1,0.18,0.8,0.2,5.88
3319,941-1-15,HOH 1040,1995-09-19,,,,0.2,,0.59,2.2,0.72,5.38
3320,941-1-18,HOH 1260,1995-09-19,,0.03,,,,0.39,0.7,0.21,5.19
3321,941-1-30,HOH 1221,1995-09-19,,,,,,0.45,0.7,0.2,5.26
3322,941-2-2,HOH 1238,1995-09-21,,,,,0.2,0.1,1.9,0.35,5.44
3323,941-2-17,Reinevasstjørni,1995-09-19,,,,,,0.35,1.1,0.2,5.28
3324,941-2-32,HOH 1080,1995-09-19,,,,,,0.32,0.7,0.31,5.35
3325,941-2-34,Den lange tjørni,1995-09-20,,,,0.3,0.1,0.09,0.5,0.32,6.63
3326,941-3-5,Reinevatn,1995-09-19,,,,,0.1,0.25,0.7,0.31,5.65
3327,941-3-12,Breivevatnet,1995-09-28,,,,0.2,,0.21,1.2,1.1,6.49
3328,941-3-13,Ormsavatnet,1995-09-19,,0.07,,0.2,0.6,0.4,5.7,0.2,5.89
3329,941-3-18,Urdevatnet,1995-09-20,,,,,,0.1,0.5,0.2,6.58
3330,941-4-2,Store Urevatn,1995-09-19,,,,,,0.57,1.2,0.2,5.35
3331,1001-1-55,Skeivatnet,1995-10-18,,0.16,0.1,0.8,1.1,1.44,18.0,6.4,6.2
3333,1002-1-62,Vråvatn,1995-10-18,,0.07,1.9,1.2,0.3,0.44,7.6,3.1,5.91
3334,1003-1-16,HOH 130,1995-10-18,,0.11,,0.3,0.8,0.6,9.5,1.7,5.17
3335,1003-1-18,HOH 14,1995-10-18,0.473,0.06,1.0,0.9,0.4,0.25,14.6,2.7,6.37
3336,1003-2-2,Brastadvatnet,1995-10-18,,0.07,0.2,1.3,1.3,0.51,10.5,5.8,7.22
3337,1004-1-2,Engelsvatnet,1995-10-18,,0.12,,0.4,0.5,1.25,11.0,3.3,4.7
3338,1004-1-21,Skultjørnan,1995-10-18,,,3.4,,,1.27,7.1,1.7,4.83
3339,1004-1-22,Skrubbedalstjørna,1995-11-01,,,,0.6,0.3,2.38,5.2,1.3,4.63
3340,1004-2-6,Djupvatnet,1995-10-18,0.821,0.02,0.3,0.3,0.2,0.73,4.3,1.2,4.76
3341,1017-1-14,Gyvatnet,1995-10-18,0.392,0.1,0.3,0.6,0.4,1.22,13.3,4.8,5.15
3342,1017-1-31,Gardvatnet,1995-10-18,,0.06,,0.6,0.3,0.67,5.6,4.0,4.76
3343,1021-1-27,Grunnevatnet,1995-10-18,0.27,0.08,0.2,0.6,0.4,1.37,9.5,5.6,4.84
3344,1021-1-61,Kringlevatnet,1995-10-18,,0.26,0.5,1.5,0.7,1.42,13.6,7.5,5.88
3345,1026-1-6,HOH 737,1995-11-01,0.208,0.04,0.1,0.6,0.2,1.37,5.3,3.2,4.57
3346,1026-1-10,HOH 875,1995-10-21,,,,0.4,,0.64,4.9,1.3,5.1
3347,1026-2-10,Kjosevatn,1995-11-01,,0.05,0.2,0.5,0.3,1.16,7.1,3.9,4.76
3348,1026-2-20,Storevatn,1995-10-21,,0.03,,0.3,0.2,0.89,5.0,4.3,4.7
3349,1026-2-25,Storevatnet,1995-11-01,0.39,0.07,0.2,0.6,0.2,1.64,7.0,5.8,4.67
3350,1026-2-27,Storevatn,1995-10-21,0.16,,,0.3,,0.38,1.6,2.5,5.0
3351,1026-2-28,Sandvatn,1995-10-21,,,0.1,0.3,,0.53,1.6,0.62,4.97
3352,1026-3-3,Langevatn,1995-10-21,,,,0.5,0.2,0.47,5.1,2.1,5.05
3353,1026-3-18,Storevatnet,1995-11-01,0.177,0.03,,0.3,0.1,5.79,3.9,0.41,4.74
3354,1026-3-19,Ljoslandsvatnet,1995-11-01,,0.03,,0.4,0.2,0.61,4.4,3.4,5.4
3355,1029-1-26,Vassåkervatnet,1995-10-18,0.366,0.12,0.2,0.6,0.5,0.79,13.1,1.9,5.42
3356,1032-2-4,Jovatnet,1995-10-18,,0.11,,0.3,0.2,0.81,11.3,2.4,4.99
3357,1032-2-13,Hagevatnet,1995-10-18,0.223,0.09,0.1,0.4,0.4,0.77,7.5,3.9,4.76
3358,1034-1-4,Grantjørni,1995-11-01,0.454,0.04,0.1,0.5,0.2,1.67,5.5,6.2,4.54
3359,1034-2-7,Surtevatnet,1995-11-01,0.379,0.04,,0.7,0.2,1.69,5.3,3.9,4.57
3360,1034-2-22,Bjønnvatn,1995-11-01,,0.04,,0.3,0.2,1.25,9.5,4.7,4.75
3361,1037-1-9,HOH 619,1995-11-01,0.257,0.03,,0.3,0.1,3.44,4.1,4.9,4.6
3362,1037-1-13,Husbrytjørn,1995-10-18,,0.06,0.2,0.4,0.4,1.75,7.7,7.9,4.61
3363,1037-2-14,Hellartjern,1995-11-01,0.205,0.03,,0.3,,13.65,4.0,3.5,4.74
3365,1046-1-8,Småtjørnan,1995-11-01,0.41,0.03,,0.4,0.2,2.05,5.2,5.7,4.53
3366,1046-1-11,HOH 573,1995-11-01,,0.06,,0.2,0.2,1.63,3.4,1.9,4.77
3367,1046-1-12,HOH 760,1995-11-01,0.135,0.02,,0.7,0.1,1.5,2.5,2.0,4.69
3368,1046-1-15,HOH 1041,1995-10-21,,0.03,,,0.1,0.68,19.0,0.46,4.89
3369,1046-1-20,Litle Svartevatnet,1995-11-01,0.217,0.04,,0.7,0.2,2.43,3.7,3.6,4.7
3370,1046-1-24,HOH 944,1995-10-21,,,,,,0.44,1.4,0.62,4.95
3371,1046-1-29,Hyttevatnan,1995-11-01,,,,0.2,0.1,1.99,5.6,1.7,4.85
3372,1046-1-30,HOH 739,1995-11-01,,0.03,,0.6,0.2,2.11,3.1,1.1,4.84
3373,1046-1-33,HOH 850,1995-11-01,,0.04,,0.2,0.3,1.01,5.5,1.3,4.77
3374,1046-2-9,HOH 860,1995-10-21,0.11,,,0.5,0.2,0.69,1.9,1.6,5.0
3375,1046-2-12,Indre Skeidsvatn,1995-11-01,0.13,,,0.5,0.2,14.97,1.7,1.2,4.95
3376,1046-2-15,Krokevatn,1995-10-21,0.184,,,,,0.76,2.4,1.3,4.95
3377,1046-2-17,Åsmundsvatnet,1995-11-01,,0.04,,0.5,0.3,1.24,9.1,3.8,4.75
3378,1046-2-21,Falketjørnene,1995-10-21,,,,,,0.52,2.3,1.4,4.89
3379,1046-2-23,Vassfellet,1995-10-21,,,,,,0.31,1.0,1.2,4.95
3380,1046-2-24,Flåvatnet,1995-11-01,,0.03,,0.4,0.2,1.52,4.3,4.5,4.66
3381,1046-2-30,Avedalsvatnet,1995-11-01,0.112,0.02,,,0.2,0.94,3.1,4.8,4.71
3382,1046-3-9,Guddilsvatnet,1995-10-21,,0.08,,0.2,0.3,0.6,3.6,1.3,4.96
3383,1046-3-15,Storavatnet,1995-10-21,0.135,,,,0.1,0.36,2.1,1.0,4.97
3384,1046-3-17,Degjevatnet,1995-10-21,,0.06,,0.2,0.2,0.73,3.1,0.49,4.94
3385,1046-3-20,Bjørnestadvatnet,1995-11-01,0.175,0.03,,,0.2,7.04,4.1,1.9,4.78
3386,1046-3-21,Langavatn,1995-11-01,,0.02,,0.3,0.2,0.86,11.6,1.3,4.86
3387,1101-3-8,Revsvatnet,1995-11-01,0.155,0.05,,,0.3,0.82,6.7,0.2,4.9
3388,1102-1-35,Auratjørna,1995-11-01,,0.02,,,0.2,0.37,3.6,1.2,5.05
3389,1102-2-14,Skjelbreidtjørna,1995-11-01,,0.08,,0.7,0.3,0.35,5.6,3.3,6.58
3390,1111-1-1,Øygardstjørna,1995-11-01,,0.04,0.1,0.3,0.4,0.74,5.2,1.9,6.51
3391,1112-1-10,Saurtjørni,1995-11-01,,0.08,,0.3,0.3,0.8,40.6,3.0,4.62
3392,1112-2-7,Glessjor,1995-11-01,0.181,0.05,,,0.3,0.77,5.3,0.84,4.94
3393,1112-4-1,Lundevatnet,1995-11-01,,0.06,,0.4,0.3,0.58,5.6,1.2,5.04
3394,1114-1-7,Hellevatnet,1995-10-31,,0.04,,,0.3,0.9,5.5,1.8,4.98
3395,1114-1-8,HOH 710,1995-11-01,0.111,0.02,,,0.2,1.64,3.3,1.8,4.82
3396,1114-1-21,Holatjørni,1995-11-01,,0.06,,0.2,0.3,1.24,4.4,1.3,4.78
3397,1114-1-33,HOH 690,1995-11-01,0.137,,,,0.2,2.37,3.0,1.8,4.82
3398,1114-2-4,HOH 712,1995-11-01,,0.07,0.2,0.3,0.5,1.19,5.1,1.5,4.78
3399,1114-2-25,Butjørnane,1995-11-01,,0.02,,,0.2,0.32,3.3,1.8,5.2
3400,1114-3-2,Røyslandsvatnet,1995-10-31,,0.07,0.1,0.4,0.4,0.48,4.8,1.7,6.18
3401,1114-3-4,Hofreistævatnet,1995-10-31,0.103,0.03,,,0.2,0.48,4.1,1.0,5.56
3402,1114-3-10,Indra Vinjavatnet,1995-10-31,,0.12,3.0,1.5,1.2,0.5,11.5,1.2,5.98
3403,1119-1-25,Lauvåsvatnet,1995-11-01,0.24,0.05,0.1,0.7,0.2,0.52,9.6,1.4,5.38
3404,1120-3-1,Horpestadvatnet,1995-11-01,0.282,,0.2,1.4,1.9,0.18,3.8,5.4,7.23
3405,1121-2-17,Snorestadtjørnane,1995-11-01,,0.04,0.8,2.3,0.7,0.87,7.1,2.4,4.94
3406,1122-1-2,HOH 850,1995-11-01,,0.03,,,0.2,2.13,6.5,1.0,4.87
3407,1122-1-3,HOH 770,1995-10-31,0.102,0.03,,,0.1,1.12,3.4,1.5,4.75
3408,1122-1-4,Kalvedalsvatnet,1995-10-31,,0.03,,0.3,0.2,0.95,4.4,1.3,4.81
3409,1122-1-12,Langatjørn,1995-11-01,,0.04,,,0.3,1.09,3.6,0.54,4.89
3410,1122-1-16,Kringlelitjørna,1995-11-01,0.124,0.03,,,0.2,0.38,4.2,3.3,5.53
3411,1122-1-31,Holmavatnet,1995-10-31,,,,,0.2,0.79,4.5,1.7,5.18
3412,1122-2-2,HOH 941,1995-11-01,,0.03,,,0.1,7.8,2.8,0.6,4.87
